date,open,high,low,close,volume
2025-03-25,331.0,346.72,331.0,338.65,1174946.0
2025-03-26,337.51,340.77,332.41,336.51,1286093.0
2025-03-27,338.23,348.71,301.0,307.0,2668943.0
2025-03-28,308.06,308.4,287.5,290.5,8882940.0
2025-03-31,287.98,291.76,280.83,282.26,2722023.0
2025-04-01,284.7,284.99,277.45,279.25,1993107.0
2025-04-02,278.95,287.95,248.5,250.23,1258146.0
2025-04-03,256.05,257.33,237.0,256.5,4909612.0
2025-04-04,253.67,271.75,232.29,263.65,5470806.0
2025-04-07,251.55,273.65,246.44,266.8,2613587.0
2025-04-08,270.0,273.25,241.09,241.41,2139919.0
2025-04-09,249.99,287.21,240.0,274.0,4319287.0
2025-04-10,270.0,273.44,247.92,257.0,2468088.0
2025-04-11,255.0,263.85,249.06,261.0,1213059.0
2025-04-14,265.99,265.99,253.45,259.0,1063201.0
2025-04-15,261.0,263.6,252.02,252.08,912048.0
2025-04-16,254.02,256.94,245.51,246.99,1068894.0
2025-04-17,249.49,252.23,248.0,250.17,955628.0
2025-04-21,249.0,255.4,245.59,255.4,905114.0
2025-04-22,256.05,268.0,255.99,268.0,1294383.0
2025-04-23,268.03,277.3,263.67,265.85,1116343.0
2025-04-24,267.83,272.0,261.26,270.64,785640.0
2025-04-25,268.43,269.63,265.48,267.8,885027.0
2025-04-28,265.15,270.71,265.15,267.86,849619.0
2025-04-29,267.97,272.0,266.06,270.5,957286.0
2025-04-30,270.06,271.27,259.33,270.4,1193098.0
2025-05-01,272.0,274.34,268.36,268.6,669475.0
2025-05-02,271.0,279.44,271.0,277.0,1053390.0
2025-05-05,273.03,281.44,272.95,278.6,713136.0
2025-05-06,276.42,278.97,269.57,274.68,636006.0
2025-05-07,275.08,277.13,271.92,275.69,595446.0
2025-05-08,280.54,286.26,277.38,284.13,819285.0
2025-05-09,283.49,284.0,279.02,280.31,958852.0
2025-05-12,294.88,309.82,292.0,305.54,1423406.0
2025-05-13,303.96,312.0,303.69,311.98,877853.0
