Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
APO,APOLLO GLOBAL MANAGEMENT INC,Financials,Equity,"18,265,769.70",0.12,"18,265,769.70","139,327.00",131.10,United States,New York Stock Exchange Inc.,USD,1.00,--
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,Equity,"18,246,409.26",0.12,"18,246,409.26","364,418.00",50.07,United States,New York Stock Exchange Inc.,USD,1.00,--
EMR,EMERSON ELECTRIC,Industrials,Equity,"18,241,131.63",0.12,"18,241,131.63","151,517.00",120.39,United States,New York Stock Exchange Inc.,USD,1.00,--
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"17,760,489.36",0.12,"17,760,489.36","17,760,489.00",1.00,United States,--,USD,1.00,--
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,Equity,"17,682,115.62",0.12,"17,682,115.62","174,759.00",101.18,United States,New York Stock Exchange Inc.,USD,1.00,--
NOC,NORTHROP GRUMMAN CORP,Industrials,Equity,"17,666,728.92",0.12,"17,666,728.92","36,186.00",488.22,United States,New York Stock Exchange Inc.,USD,1.00,--
ECL,ECOLAB INC,Materials,Equity,"17,586,198.36",0.12,"17,586,198.36","66,258.00",265.42,United States,New York Stock Exchange Inc.,USD,1.00,--
SNOW,SNOWFLAKE INC CLASS A,Information Technology,Equity,"17,303,606.95",0.11,"17,303,606.95","82,733.00",209.15,United States,New York Stock Exchange Inc.,USD,1.00,--
ADSK,AUTODESK INC,Information Technology,Equity,"17,222,699.52",0.11,"17,222,699.52","57,501.00",299.52,United States,NASDAQ,USD,1.00,--
FTNT,FORTINET INC,Information Technology,Equity,"17,195,980.48",0.11,"17,195,980.48","167,146.00",102.88,United States,NASDAQ,USD,1.00,--
BK,BANK OF NEW YORK MELLON CORP,Financials,Equity,"17,007,957.12",0.11,"17,007,957.12","190,416.00",89.32,United States,New York Stock Exchange Inc.,USD,1.00,--
RCL,ROYAL CARIBBEAN GROUP LTD,Consumer Discretionary,Equity,"16,852,829.76",0.11,"16,852,829.76","63,176.00",266.76,United States,New York Stock Exchange Inc.,USD,1.00,--
AZO,AUTOZONE INC,Consumer Discretionary,Equity,"16,783,544.00",0.11,"16,783,544.00","4,478.00","3,748.00",United States,New York Stock Exchange Inc.,USD,1.00,--
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,Equity,"16,749,521.25",0.11,"16,749,521.25","59,125.00",283.29,United States,New York Stock Exchange Inc.,USD,1.00,--
EOG,EOG RESOURCES INC,Energy,Equity,"16,747,113.62",0.11,"16,747,113.62","148,441.00",112.82,United States,New York Stock Exchange Inc.,USD,1.00,--
NEM,NEWMONT,Materials,Equity,"16,726,736.36",0.11,"16,726,736.36","302,254.00",55.34,United States,New York Stock Exchange Inc.,USD,1.00,--
CRH,CRH PUBLIC LIMITED PLC,Materials,Equity,"16,564,978.16",0.11,"16,564,978.16","181,793.00",91.12,United States,New York Stock Exchange Inc.,USD,1.00,--
TRV,TRAVELERS COMPANIES INC,Financials,Equity,"16,539,077.63",0.11,"16,539,077.63","59,909.00",276.07,United States,New York Stock Exchange Inc.,USD,1.00,--
CSX,CSX CORP,Industrials,Equity,"16,299,321.12",0.11,"16,299,321.12","511,592.00",31.86,United States,NASDAQ,USD,1.00,--
ROP,ROPER TECHNOLOGIES INC,Information Technology,Equity,"16,168,962.51",0.11,"16,168,962.51","28,473.00",567.87,United States,NASDAQ,USD,1.00,--
HLT,HILTON WORLDWIDE HOLDINGS INC,Consumer Discretionary,Equity,"15,958,158.30",0.10,"15,958,158.30","63,553.00",251.10,United States,New York Stock Exchange Inc.,USD,1.00,--
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,Equity,"15,862,678.00",0.10,"15,862,678.00","59,995.00",264.40,United States,NASDAQ,USD,1.00,--
